Date,Open,High,Low,Close,Adj Close,Volume
2000-12-20,14.888534,14.888534,14.652208,14.652208,5.778054,111392
2000-12-21,14.415882,14.652208,14.415882,14.415882,5.684859,156246
2000-12-22,14.652208,14.652208,14.415882,14.415882,5.684859,78070
2000-12-25,14.415882,14.415882,14.179556,14.179556,5.591665,127472
2000-12-26,14.415882,14.415882,14.179556,14.179556,5.591665,179307
2000-12-27,14.179556,14.652208,14.179556,14.652208,5.778054,117316
2000-12-28,14.652208,14.888534,14.652208,14.652208,5.778054,175922
2000-12-29,14.652208,14.652208,14.415882,14.652208,5.778054,41785
2001-01-01,14.652208,14.652208,14.652208,14.652208,5.778054,0
2001-01-02,14.652208,14.652208,14.652208,14.652208,5.778054,0
2001-01-03,14.652208,14.652208,14.179556,14.652208,5.778054,400823
2001-01-04,14.888534,15.833838,14.888534,15.597512,6.150830,1946358
2001-01-05,15.597512,16.070164,15.597512,16.070164,6.337221,2039661
2001-01-08,16.306490,17.015469,16.070164,16.542816,6.523610,6712551
2001-01-09,16.542816,17.488119,15.833838,16.070164,6.337221,9000069
2001-01-10,16.306490,16.306490,15.361186,15.361186,6.057636,7406084
2001-01-11,15.597512,16.070164,15.124860,15.361186,6.057636,6981988
2001-01-12,15.833838,17.251793,15.833838,16.779142,6.616805,20010287
2001-01-15,17.724445,18.197098,17.251793,17.251793,6.803192,26980215
2001-01-16,17.488119,17.488119,16.779142,16.779142,6.616805,6416032
2001-01-17,16.779142,17.488119,16.779142,17.251793,6.803192,5099313
2001-01-18,17.724445,19.378727,17.724445,18.197098,7.175969,23349213
2001-01-19,18.669748,18.906075,17.488119,17.960772,7.082776,9977216
2001-01-22,17.960772,18.906075,17.724445,18.906075,7.455554,5322310
2001-01-23,18.906075,20.087706,18.669748,19.851379,7.828331,11900830
2001-01-24,19.851379,19.851379,19.142401,19.378727,7.641943,5581274
2001-01-25,20.087706,21.505659,19.851379,20.796682,8.201108,14633179
2001-01-26,21.269335,21.505659,18.669748,18.669748,7.362358,6921161
2001-01-29,19.142401,19.378727,18.669748,18.906075,7.455554,2672368
2001-01-30,18.906075,19.378727,17.488119,17.488119,6.896387,3447357
2001-01-31,17.960772,19.378727,17.724445,19.378727,7.641943,7999015
2001-02-01,19.378727,20.087706,19.142401,19.378727,7.641943,6166589
2001-02-02,19.378727,19.615053,18.906075,19.142401,7.548747,1610064
2001-02-05,19.142401,19.851379,18.906075,19.378727,7.641943,2572506
2001-02-06,19.378727,19.615053,18.433422,18.433422,7.269163,2140370
2001-02-07,18.669748,19.142401,18.433422,19.142401,7.548747,1988672
2001-02-08,19.142401,19.142401,19.142401,19.142401,7.548747,0
2001-02-09,19.142401,19.378727,17.960772,18.197098,7.175969,7081533
2001-02-12,18.197098,18.197098,16.542816,16.779142,6.616805,4799515
2001-02-13,17.015469,17.488119,16.779142,17.488119,6.896387,5818552
2001-02-14,17.015469,17.251793,16.306490,16.542816,6.523610,3556951
2001-02-15,16.542816,16.542816,15.597512,15.597512,6.150830,6177802
2001-02-16,15.833838,16.306490,15.597512,15.833838,6.244026,4471790
2001-02-19,15.361186,15.597512,15.124860,15.124860,5.964443,4494322
2001-02-20,15.361186,15.597512,15.124860,15.597512,6.150830,1744307
2001-02-21,15.361186,15.833838,15.124860,15.361186,6.057636,2656923
2001-02-22,15.124860,15.597512,14.888534,15.597512,6.150830,4126609
2001-02-23,15.597512,17.251793,15.597512,17.251793,6.803192,15611066
2001-02-26,17.724445,17.960772,16.542816,16.542816,6.523610,7168700
2001-02-27,17.015469,17.251793,16.542816,17.251793,6.803192,2817295
2001-02-28,17.251793,17.724445,16.779142,17.488119,6.896387,4035210
2001-03-01,17.251793,17.724445,16.070164,16.070164,6.337221,3970258
2001-03-02,16.306490,16.542816,15.597512,15.833838,6.244026,2361251
2001-03-05,15.124860,15.124860,14.415882,14.652208,5.778054,4490196
